id,nickname,registertime,type,friend_num,fan_num,richlevel,starlevel
69363790,☆海♂上※兰□香℡,"2014-10-22 23:03:43",tencent,28,365,7,6
236838521,追萧,"2018-06-05 08:36:11",phone,16,22,1,0
189537375,優雅,"2017-06-04 10:24:43",tencent,96,561,0,1
78731011,悟空君!,"2015-01-12 09:45:29",tencent,2,10,0,0
212616689,漫步云海~🌹,"2018-01-07 16:12:58",weixin,17,27,0,0
176658180,好美秒🐱,"2017-01-14 21:55:57",phone,27,29,0,0
231926140,霸气🇨🇳💞伟明💞,"2018-04-25 21:40:48",weixin,452,3953,6,4
53566821,容✨颜✨,"2014-05-01 15:07:41",tencent,77,548,5,4
204799203,赵老师273似水年华,"2017-10-21 11:29:02",weixin,554,610,0,1
178454892,瘦子怎么唱歌,"2017-02-04 00:58:45",weibo,15,10,0,0
125278527,岁月如歌🌾.,"2016-03-18 18:30:50",phone,114,137,1,0
126851836,๑逗比๑✨北北✨ั ,"2016-04-01 19:56:34",tencent,46,231,2,2
12777728,RITA婷宝宝,"2012-11-14 21:33:56",weibo,63,1128,2,1
155528818,海42575,"2016-08-25 12:59:02",weixin,114,302,5,3
93624748,秋，冷,"2015-06-02 09:17:48",phone,63,94,1,0
42142774,しょうがくせ,"2013-12-01 17:24:43",tencent,0,31,1,0
184004953,歌手160722359,"2017-04-08 07:20:23",weixin,3,93,0,1
30023327,-烂橘子,"2013-06-09 23:40:55",tencent,97,52,1,0
10150938,9⃣️5⃣️,"2012-10-08 21:10:20",tencent,22,104,2,1
114074190,欢唱的蔷薇,"2015-12-08 21:45:41",phone,139,491,0,0
248023390,光辉岁月881502,"2018-09-21 21:01:34",phone,68,449,0,0
106258098,寂寞✨如烟似火,"2015-09-15 09:23:42",tencent,19,12,5,0
25638408,ヾ小故事,"2013-04-10 10:54:32",tencent,4,18,1,0
82242844,Autism(孤独症患者),"2015-02-10 22:22:16",phone,22,39,0,0
4613544,那遥远的以后,"2012-08-16 17:31:46",weibo,159,444,6,4
1767565,jnnn、,"2012-07-11 16:00:15",tencent,15,43,0,0
144000241,韬你个韬,"2016-07-05 16:07:33",phone,5,15,0,0
126221836,💞是金子哪里都会发光的,"2016-03-27 10:55:15",tencent,63,127,1,1
36720737,M于三金and于萌萌,"2013-08-27 22:23:19",tencent,183,152,1,1
242020331,倍儿坚强姑娘！,"2018-07-22 00:15:58",phone,531,583,4,0
225359733,🌺攒锦聚💰,"2018-03-10 10:37:51",weixin,14,11,0,0
90348614,与你同行走天涯,"2015-04-30 21:23:49",tencent,72,83,1,1
33601390,莴苣╭╯ε╰╮,"2013-07-23 00:21:25",tencent,44,100,3,1
177541039,金莹try,"2017-01-23 23:56:20",weixin,34,159,0,1
23276015,✨이신사,"2013-03-15 23:01:55",tencent,27,313,3,2
246518299,平乡月,"2018-09-04 14:53:06",phone,1,2,0,0
205446508,蓠芯s默然,"2017-10-29 15:02:53",phone,239,239,3,1
105704152,梦里花开🌷🌷,"2015-09-09 17:35:49",tencent,68,67,1,1
195377353,平凡的夜雨声,"2017-07-16 14:26:01",phone,13,24,0,0
61992688,杨佬肆🎈,"2014-08-01 16:08:03",tencent,9,13,0,0
214360804,晨晨207703,"2018-01-12 19:04:20",phone,21,24,5,0
203960951,唱着歌儿去读书,"2017-10-10 21:17:10",weixin,33,41,0,1
12066810,Ss🌵🌵,"2012-11-04 17:15:03",tencent,108,351,2,2
31668613,浮生&未歇,"2013-07-01 07:43:53",tencent,104,791,6,4
58327026,xf花开花落,"2014-06-21 22:49:41",tencent,16,76,0,1
187771603,爱无痕363,"2017-05-18 18:34:38",weixin,2808,1966,0,0
2680685,诡鬼,"2012-07-22 15:42:34",tencent,43,30,0,0
115382945,足够丶丶,"2015-12-22 00:35:20",weibo,16,19,0,0
200074309,清雅淡然20475［拒币］,"2017-08-27 11:10:24",weixin,290,191,0,0
107370178,_……,"2015-09-27 12:42:15",phone,1,33,1,1
184195634,歌手174702620,"2017-04-09 22:10:26",phone,0,11,0,0
3495022,霸气🇨🇳小嘎嘣豆儿,"2012-08-02 18:03:57",tencent,92,673,2,1
191107713,咪M.....,"2017-06-15 23:14:26",phone,11,26,2,0
130195853,大牛奔奔🌼,"2016-04-21 19:31:15",weixin,2,3,0,0
52369050,ChunG💃,"2014-04-16 18:50:57",tencent,22,42,2,0
237274651,陈孟库593937,"2018-06-09 14:25:34",phone,295,687,0,0
27245898,Jo、Zhou,"2013-05-02 13:13:12",tencent,31,55,0,1
51221808,嘻嘻哈哈哈👣,"2014-04-01 19:17:54",tencent,108,8,0,0
110211645,柳丁丶带我去寻找,"2015-10-28 11:24:32",phone,119,124,1,0
117129402,•﹏•顺其自然•﹏•,"2016-01-04 08:12:46",phone,119,87,5,1
12986961,㚷当我是浮夸吧,"2012-11-18 10:13:49",weibo,46,44,0,0
26612915,ぷ君ヾ,"2013-04-23 11:36:07",weibo,1,11,0,0
97901161,梅之逸,"2015-07-06 07:15:26",phone,54,277,3,2
202797815,夜的第七章66297,"2017-09-27 22:08:47",phone,3,4,0,0
220072579,天边的彩虹呢🌈,"2018-02-05 16:08:57",tencent,35,45,3,0
69435556,自欺人丶,"2014-10-23 19:00:19",tencent,78,142,3,1
38962701,乱凡尘,"2013-10-05 09:30:49",tencent,74,135,1,1
249273421,玉～凤,"2018-10-04 19:59:42",weixin,0,4,0,0
204595609,秀496371,"2017-10-18 19:03:41",weixin,652,307,0,0
48338030,酒鬼漠离,"2014-02-23 11:51:49",tencent,20,496,0,0
123153946,好歌手小伟,"2016-02-27 13:56:03",phone,393,1004,8,6
89821173,＊雪曰,"2015-04-24 17:59:23",tencent,71,60,1,0
246706515,老张666(o^^o)♪,"2018-09-06 18:33:53",phone,74,463,6,5
198180465,VinX,"2017-08-08 15:29:08",phone,4,21,0,0
135648062,陆路露（不关注）,"2016-05-24 17:23:13",phone,6,18,2,1
28977240,vampire暗轩,"2013-05-26 14:08:20",tencent,87,158,3,0
90621159,🔒南宫天佑😄,"2015-05-03 11:41:40",tencent,231,1678,7,6
221238358,凡凡人735,"2018-02-12 17:49:41",weixin,1,2,0,0
65967746,__🍃🍃,"2014-09-14 13:43:25",tencent,145,49,4,1
96225459,✨freeman✨,"2015-06-22 19:54:07",phone,224,96,1,0
181320041,🍥吴爱梅,"2017-03-10 20:48:13",weixin,1,13,0,0
74065777,独有的烟草哥,"2014-11-30 12:50:40",phone,116,97,3,1
152438299,蓓蕾*倩倩*,"2016-08-11 20:34:18",weixin,24,179,2,1
204479718,打不准来袭,"2017-10-16 23:35:49",phone,14,27,0,0
181842272,知己的一生,"2017-03-16 10:00:44",phone,13,13,0,0
66307054,阳光的味道✘,"2014-09-18 23:56:10",tencent,44,41,1,0
169981403,⭐⭐晶寶鋇,"2016-11-17 15:12:30",weixin,17,59,1,0
32339420,打死里个龟孙,"2013-07-09 07:47:04",tencent,7,116,2,1
29307327,马大苗,"2013-05-31 16:48:35",tencent,45,52,2,1
249904982,奋斗（王俊荣）,"2018-10-11 22:25:53",weixin,7,2,0,0
179062028,人f。,"2017-02-10 18:25:13",tencent,977,109,5,0
249856278,檀甫,"2018-10-11 11:39:37",phone,1,1,0,0
94668099,Sunny～～66,"2015-06-09 13:39:12",phone,37,284,1,1
88034799,亲爱的白小兔。,"2015-04-06 11:10:24",phone,4,2,0,0
244032431,自己的心情自己感受🌙,"2018-08-09 17:34:35",phone,19,37,1,0
133696159,《🌾叶子🌾》,"2016-05-13 17:20:40",weixin,46,287,4,3
187431191,忆念707,"2017-05-14 15:29:26",weixin,18,42,0,0
163777313,田颖超💪😳🎈,"2016-10-07 20:42:52",weixin,8,11,0,0
122973417,⭐故事太唯美🎃,"2016-02-25 22:04:22",tencent,77,657,8,6
77846541,爱过，大约在曾经,"2015-01-04 12:43:56",tencent,12,15,0,0
101762670,雷🌴,"2015-08-06 12:23:52",tencent,167,134,0,0
41361907,LING。❤,"2013-11-16 22:52:12",tencent,10,32,3,1
115042029,only-_-15,"2015-12-19 09:25:35",phone,9,13,0,0
132539556,黄山松572,"2016-05-06 18:56:52",weixin,34,92,0,0
204965884,Mr.Feng666,"2017-10-23 03:37:36",weixin,50,56,3,0
108362155,爱音乐，从小就喜欢唱,"2015-10-07 16:56:14",phone,284,348,4,1
192571601,zzzz💝,"2017-06-25 13:05:15",tencent,0,0,5,3
135339175,芝士_MadHatter,"2016-05-22 20:18:32",tencent,19,5,2,0
134512866,听风吟💝（忆梦）,"2016-05-18 11:07:25",weixin,2,260,5,0
90647547,☁️爱笑的眼睛☁️,"2015-05-03 17:07:02",phone,85,306,3,2
112434474,纯子_48159730670,"2015-11-22 10:35:30",phone,34,32,0,0
29606251,大娃🌺.,"2013-06-04 15:15:17",tencent,64,173,0,1
2992530,吃秋刀鱼的冰红茶,"2012-07-26 23:52:39",weibo,33,75,1,0
201490930,往事随风(ಥ_ಥ),"2017-09-12 15:50:09",weixin,9,539,4,2
2144810,允诺vVv,"2012-07-16 04:37:10",weibo,14,41,2,1
247788146,优秀.639,"2018-09-18 22:05:25",tencent,12,54,2,0
199498760,梦醉江南z,"2017-08-21 14:07:43",phone,3,126,4,0
181089060,☞周哥,"2017-03-07 20:23:44",weixin,61,168,0,0
249835146,熊宝贝的小妖精👄,"2018-10-10 22:49:31",weixin,28,35,0,0
87396035,123456qwet,"2015-03-31 19:47:02",phone,432,807,3,3
86257825,Younger歌,"2015-03-20 19:15:53",weibo,130,58,0,0
19393177,你好像很美味i,"2013-02-06 21:48:03",tencent,103,40,0,0
184695837,谦人Ru,"2017-04-15 23:16:39",weixin,39,385,3,1
